Country,iso3,Region,Category,Indicator,2005,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Asia,Poverty,"Life expectancy at birth, total",57.06,58.61,,59.60,60.07,60.51,
Afghanistan,AFG,Asia,Poverty,"Physicians (per 1,000 people)",0.20,,,0.19,0.23,,
Algeria,DZA,Africa,Demographics,Population (Total),33960903.00,35725377.00,36383302.00,37062820.00,37762962.00,38481705.00,
Algeria,DZA,Africa,Demographics,Population ages 15-64 (% of total),66.72,67.98,68.12,68.15,68.08,67.91,
Algeria,DZA,Africa,Demographics,Population density (people per sq. km of land area),14.26,15.00,15.28,15.56,15.86,16.16,
Algeria,DZA,Africa,Demographics,Population growth (annual %),1.48,1.77,1.82,1.85,1.87,1.89,
Algeria,DZA,Africa,Demographics,Urban population (% of total),66.69,69.89,70.96,72.02,72.87,73.71,
Algeria,DZA,Africa,Development,Human Development Index,0.68,0.70,0.71,0.71,0.71,0.71,
Algeria,DZA,Africa,Development,"Literacy rate, adult female (% of females ages 15 and above)",,,,,,,
Algeria,DZA,Africa,Development,"Literacy rate, adult male (% of males ages 15 and above)",,,,,,,
Algeria,DZA,Africa,Development,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Algeria,DZA,Africa,Economy,GDP (current US$),103199000000.00,171000000000.00,137212000000.00,161207000000.00,199071000000.00,205789000000.00,
Algeria,DZA,Africa,Economy,GDP growth (annual %),5.90,2.00,1.70,3.60,2.60,3.30,
Algeria,DZA,Africa,Economy,GDP per capita (current US$),3038.75,4786.52,3771.28,4349.57,5271.59,5347.70,
Algeria,DZA,Africa,Finance,Commercial_deposit_accounts_2010,,,,736.56,,,
Algeria,DZA,Africa,Finance,Coop_and_credit_union_deposit_accounts_2010,,,,0.00,,,
Algeria,DZA,Africa,Finance,State_Financial_Institution_deposit_accounts_2010,,,,0.00,,,
Algeria,DZA,Africa,Finance,MFI_deposit_accounts_2010,,,,0.00,,,
Algeria,DZA,Africa,Finance,Remittances received (US$),,,,,5399.00,,
Algeria,DZA,Africa,Finance,Number_of_MFIs_2011,,,,,0.00,,
Algeria,DZA,Africa,Finance,Number_of_active_MFI_borrowers_2011,,,,,0.00,,
Algeria,DZA,Africa,Finance,MFI_Gross_Loan_Portfolio_2011,,,,,0.00,,
Algeria,DZA,Africa,Health,External resources for health (% of total expenditure on health),0.09,0.21,0.05,0.03,0.01,0.04,
Algeria,DZA,Africa,Health,Health expenditure per capita (current US$),95.30,183.19,173.70,181.35,232.61,278.61,
Algeria,DZA,Africa,Health,"Health expenditure, private (% of GDP)",0.86,0.76,0.95,0.87,0.79,0.83,
Algeria,DZA,Africa,Health,"Health expenditure, public (% of GDP)",2.28,3.06,3.65,3.30,3.62,4.41,
Algeria,DZA,Africa,Health,Out-of-pocket health expenditure (% of private expenditure on health),94.62,94.71,94.71,94.71,94.71,94.71,
Algeria,DZA,Africa,Health,"Under-5 mortality rate (per 1,000)",26.30,23.10,22.30,21.50,20.80,20.00,
Algeria,DZA,Africa,Health,"Maternal mortality ratio (per 100,000 live births)",100.00,,,92.00,,,
Algeria,DZA,Africa,Health,"Life expectancy at birth, female",,,,,,72.53,
Algeria,DZA,Africa,Health,"Life expectancy at birth, male",,,,,,69.31,
Algeria,DZA,Africa,Health,"Life expectancy at birth, total",,,,,,70.88,
Algeria,DZA,Africa,Health,"Physicians (per 1,000 people)",,,,1.21,,,
Algeria,DZA,Africa,Index Coverage Indicators,Permanent cropland (% of land area),0.36,0.38,0.38,0.38,0.38,,
Algeria,DZA,Africa,Index Coverage Indicators,"Impact of natural disasters, number of deaths",,,,4.00,,,
Algeria,DZA,Africa,Index Coverage Indicators,"Impact of natural disasters, population affected",,,,564.00,,,
Algeria,DZA,Africa,Microinsurance,Total microinsurance coverage,0.00,1500.00,,,2036.00,,
Algeria,DZA,Africa,Microinsurance,Credit life coverage,0.00,1500.00,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Life coverage (excluding credit life),0.00,,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Life and accident coverage (excluding credit life),0.00,0.00,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Health coverage,0.00,0.00,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Accident coverage,0.00,,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Property coverage,0.00,0.00,,,2036.00,,
Algeria,DZA,Africa,Microinsurance,Agriculture coverage,,0.00,,,2036.00,,
Algeria,DZA,Africa,Microinsurance,Total microinsurance coverage ratio,0.00,0.00,,,0.01,,
Algeria,DZA,Africa,Microinsurance,Credit life coverage ratio,0.00,0.00,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Life coverage ratio (excluding credit life),0.00,,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Life and accident coverage ratio (excluding credit life),0.00,0.00,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Health coverage ratio,0.00,0.00,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Accident coverage ratio,0.00,,,,0.00,,
Algeria,DZA,Africa,Microinsurance,Property coverage ratio,0.00,0.00,,,0.01,,
Algeria,DZA,Africa,Microinsurance,Agriculture coverage ratio,,0.00,,,0.01,,
Algeria,DZA,Africa,Microinsurance,Total Gross Premium (USD), ,,,,,,
Algeria,DZA,Africa,Microinsurance,Microinsurance Gross Premium (USD), ,,,,,,
Algeria,DZA,Africa,Poverty,Income share held by lowest 20%, ,,,,,,
Algeria,DZA,Africa,Poverty,Poverty headcount ratio at $2 a day (PPP) (% of population), ,,,,,,
Algeria,DZA,Africa,Poverty,Poverty headcount ratio at national poverty line (% of population), ,,,,,,
Algeria,DZA,Africa,Poverty,Poverty headcount ratio at rural poverty line (% of rural population), ,,,,,,
Algeria,DZA,Africa,Poverty,Poverty headcount ratio at urban poverty line (% of urban population), ,,,,,,
Algeria,DZA,Africa,Poverty,GINI index, ,,,,,,
Algeria,DZA,Africa,Poverty,"Life expectancy at birth, female", ,,,,,72.53,
Algeria,DZA,Africa,Poverty,"Life expectancy at birth, male", ,,,,,69.31,
Algeria,DZA,Africa,Poverty,"Life expectancy at birth, total", ,,,,,70.88,
Algeria,DZA,Africa,Poverty,"Physicians (per 1,000 people)", ,,,,,,
Angola,AGO,Africa,Demographics,Population (Total),16544376.00,18314441.00,18926650.00,19549124.00,20180490.00,20820525.00,
Angola,AGO,Africa,Demographics,Population ages 15-64 (% of total),49.77,49.69,49.71,49.77,49.87,50.01,
Angola,AGO,Africa,Demographics,Population density (people per sq. km of land area),13.27,14.69,15.18,15.68,16.19,16.70,
Angola,AGO,Africa,Demographics,Population growth (annual %),3.49,3.34,3.29,3.24,3.18,3.12,
Angola,AGO,Africa,Demographics,Urban population (% of total),53.94,56.60,57.49,58.38,59.14,59.91,
Angola,AGO,Africa,Development,Human Development Index,0.41,0.48,0.48,0.50,0.50,0.51,
Angola,AGO,Africa,Development,"Literacy rate, adult female (% of females ages 15 and above)",,,,,58.61,,
Angola,AGO,Africa,Development,"Literacy rate, adult male (% of males ages 15 and above)",,,,,82.60,,
Angola,AGO,Africa,Development,"Literacy rate, adult total (% of people ages 15 and above)",,,,,70.36,,
Angola,AGO,Africa,Economy,GDP (current US$),28233699240.00,84178086999.00,75492417649.00,82470894868.00,104116000000.00,114147000000.00,
Angola,AGO,Africa,Economy,GDP growth (annual %),18.26,13.82,2.41,3.41,3.92,6.83,
Angola,AGO,Africa,Economy,GDP per capita (current US$),1706.54,4596.27,3988.68,4218.65,5159.23,5482.43,
Angola,AGO,Africa,Finance,Commercial_deposit_accounts_2010,,,,,,,
Angola,AGO,Africa,Finance,Coop_and_credit_union_deposit_accounts_2010,,,,,,,
Angola,AGO,Africa,Finance,State_Financial_Institution_deposit_accounts_2010,,,,,,,
Angola,AGO,Africa,Finance,MFI_deposit_accounts_2010,,,,,,,
Angola,AGO,Africa,Finance,Remittances received (US$),,,,,969.00,,
Angola,AGO,Africa,Finance,Number_of_MFIs_2011,,,,,1.00,,
Angola,AGO,Africa,Finance,Number_of_active_MFI_borrowers_2011,,,,,12686.00,,
Angola,AGO,Africa,Finance,MFI_Gross_Loan_Portfolio_2011,,,,,13223198.00,,
Angola,AGO,Africa,Health,External resources for health (% of total expenditure on health),3.66,3.73,3.02,2.33,2.30,1.68,
Angola,AGO,Africa,Health,Health expenditure per capita (current US$),70.96,176.72,174.33,143.78,177.60,190.46,
Angola,AGO,Africa,Health,"Health expenditure, private (% of GDP)",2.08,1.13,1.71,1.35,1.29,1.31,
Angola,AGO,Africa,Health,"Health expenditure, public (% of GDP)",2.08,2.72,2.66,2.06,2.16,2.16,
Angola,AGO,Africa,Health,Out-of-pocket health expenditure (% of private expenditure on health),76.18,67.06,75.37,71.04,70.08,70.53,
Angola,AGO,Africa,Health,"Under-5 mortality rate (per 1,000)",194.20,182.60,177.90,173.10,168.50,163.50,
Angola,AGO,Africa,Health,"Maternal mortality ratio (per 100,000 live births)",750.00,,,530.00,,,
Angola,AGO,Africa,Health,"Life expectancy at birth, female",49.95,51.30,51.72,52.14,52.56,52.98,
Angola,AGO,Africa,Health,"Life expectancy at birth, male",47.19,48.46,48.85,49.24,49.63,50.02,
Angola,AGO,Africa,Health,"Life expectancy at birth, total",48.54,49.85,50.25,50.65,51.06,51.46,
Angola,AGO,Africa,Health,"Physicians (per 1,000 people)",,,0.17,,,,
Angola,AGO,Africa,Index Coverage Indicators,Permanent cropland (% of land area),0.23,0.23,0.23,0.23,0.23,,
Angola,AGO,Africa,Index Coverage Indicators,"Impact of natural disasters, number of deaths",,,,2.00,,,
Angola,AGO,Africa,Index Coverage Indicators,"Impact of natural disasters, population affected",,,,4989.00,,,
Angola,AGO,Africa,Microinsurance,Total microinsurance coverage,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Credit life coverage,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Life coverage (excluding credit life),0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Life and accident coverage (excluding credit life),0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Health coverage,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Accident coverage,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Property coverage,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Agriculture coverage,,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Total microinsurance coverage ratio,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Credit life coverage ratio,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Life coverage ratio (excluding credit life),0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Life and accident coverage ratio (excluding credit life),0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Health coverage ratio,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Accident coverage ratio,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Property coverage ratio,0.00,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Agriculture coverage ratio,,,,,0.00,,
Angola,AGO,Africa,Microinsurance,Total Gross Premium (USD),,,,,,,
Angola,AGO,Africa,Microinsurance,Microinsurance Gross Premium (USD),,,,,,,
Angola,AGO,Africa,Poverty,Income share held by lowest 20%,,,5.40,,,,
Angola,AGO,Africa,Poverty,Poverty headcount ratio at $2 a day (PPP) (% of population),,,67.42,,,,
Angola,AGO,Africa,Poverty,Poverty headcount ratio at national poverty line (% of population),,36.60,,,,,
Angola,AGO,Africa,Poverty,Poverty headcount ratio at rural poverty line (% of rural population),,58.30,,,,,
Angola,AGO,Africa,Poverty,Poverty headcount ratio at urban poverty line (% of urban population),,18.70,,,,,
Angola,AGO,Africa,Poverty,GINI index,,,42.66,,,,
Angola,AGO,Africa,Poverty,"Life expectancy at birth, female",49.95,51.30,51.72,52.14,52.56,52.98,
Angola,AGO,Africa,Poverty,"Life expectancy at birth, male",47.19,48.46,48.85,49.24,49.63,50.02,
Angola,AGO,Africa,Poverty,"Life expectancy at birth, total",48.54,49.85,50.25,50.65,51.06,51.46,
Angola,AGO,Africa,Poverty,"Physicians (per 1,000 people)", ,,0.17,,,,
Argentina,ARG,Americas,Demographics,Population (Total),38647854.00,39676083.00,40023641.00,40374224.00,40728738.00,41086927.00,41446246.00
Argentina,ARG,Americas,Demographics,Population ages 15-64 (% of total),63.45,64.14,64.34,64.50,64.64,64.76,
Argentina,ARG,Americas,Demographics,Population density (people per sq. km of land area),14.12,14.50,14.62,14.75,14.88,15.01,
Argentina,ARG,Americas,Demographics,Population growth (annual %),0.88,0.87,0.87,0.87,0.87,0.88,
Argentina,ARG,Americas,Demographics,Urban population (% of total),91.38,91.96,92.16,92.35,92.49,92.64,
Argentina,ARG,Americas,Development,Human Development Index,0.77,0.79,0.80,0.81,0.81,0.81,
Argentina,ARG,Americas,Development,"Literacy rate, adult female (% of females ages 15 and above)",,,,,97.89,,
Argentina,ARG,Americas,Development,"Literacy rate, adult male (% of males ages 15 and above)",,,,,97.82,,
Argentina,ARG,Americas,Development,"Literacy rate, adult total (% of people ages 15 and above)",,,,,97.86,,
Argentina,ARG,Americas,Economy,GDP (current US$),183193000000.00,326583000000.00,307155000000.00,368736000000.00,446044000000.00,475502000000.00,
Argentina,ARG,Americas,Economy,GDP growth (annual %),9.18,6.76,0.85,9.16,8.87,1.90,
Argentina,ARG,Americas,Economy,GDP per capita (current US$),4740.07,8231.23,7674.34,9132.96,10951.58,11573.06,
Argentina,ARG,Americas,Finance,Commercial_deposit_accounts_2010,,,,906.29,,,
Argentina,ARG,Americas,Finance,Coop_and_credit_union_deposit_accounts_2010,,,,0.14,,,
Argentina,ARG,Americas,Finance,State_Financial_Institution_deposit_accounts_2010,,,,0.00,,,
Argentina,ARG,Americas,Finance,MFI_deposit_accounts_2010,,,,0.00,,,
Argentina,ARG,Americas,Finance,Remittances received (US$),,,,,1011.00,,
Argentina,ARG,Americas,Finance,Number_of_MFIs_2011,,,,,12.00,,
Argentina,ARG,Americas,Finance,Number_of_active_MFI_borrowers_2011,,,,,39176.00,,
Argentina,ARG,Americas,Finance,MFI_Gross_Loan_Portfolio_2011,,,,,41685829.00,,
Argentina,ARG,Americas,Health,External resources for health (% of total expenditure on health),1.17,1.00,0.35,0.43,0.83,0.72,
Argentina,ARG,Americas,Health,Health expenditure per capita (current US$),394.84,685.83,725.74,750.88,866.28,995.18,
Argentina,ARG,Americas,Health,"Health expenditure, private (% of GDP)",3.87,3.16,3.20,2.95,2.63,2.62,
Argentina,ARG,Americas,Health,"Health expenditure, public (% of GDP)",4.46,5.12,6.21,5.24,5.24,5.88,
Argentina,ARG,Americas,Health,Out-of-pocket health expenditure (% of private expenditure on health),64.30,59.24,59.24,59.97,62.81,65.28,
Argentina,ARG,Americas,Health,"Under-5 mortality rate (per 1,000)",17.10,15.50,15.20,14.80,14.50,14.20,
Argentina,ARG,Americas,Health,"Maternal mortality ratio (per 100,000 live births)",70.00,,,76.00,,,
Argentina,ARG,Americas,Health,"Life expectancy at birth, female",78.61,79.14,79.31,79.46,79.61,79.76,
Argentina,ARG,Americas,Health,"Life expectancy at birth, male",71.08,71.66,71.85,72.05,72.24,72.44,
Argentina,ARG,Americas,Health,"Life expectancy at birth, total",74.75,75.31,75.49,75.66,75.84,76.01,
Argentina,ARG,Americas,Health,"Physicians (per 1,000 people)",3.21,,,3.21,,,
Argentina,ARG,Americas,Index Coverage Indicators,Permanent cropland (% of land area),0.37,0.37,0.37,0.37,0.37,,
Argentina,ARG,Americas,Index Coverage Indicators,"Impact of natural disasters, number of deaths",,,,0.00,,,
Argentina,ARG,Americas,Index Coverage Indicators,"Impact of natural disasters, population affected",,,,1790.00,,,
Argentina,ARG,Americas,Microinsurance,Total microinsurance coverage,,,,,1356247.00,,2565435.00
Argentina,ARG,Americas,Microinsurance,Credit life coverage,,,,,0.00,,0.00
Argentina,ARG,Americas,Microinsurance,Life coverage (excluding credit life),,,,,1337009.00,,2565435.00
Argentina,ARG,Americas,Microinsurance,Life and accident coverage (excluding credit life),,,,,1337009.00,,
Argentina,ARG,Americas,Microinsurance,Health coverage,,,,,19238.00,,137206.00
Argentina,ARG,Americas,Microinsurance,Accident coverage,,,,,430000.00,,137206.00
Argentina,ARG,Americas,Microinsurance,Property coverage,,,,,0.00,,0.00
Argentina,ARG,Americas,Microinsurance,Agriculture coverage,,,,,0.00,,0.00
Argentina,ARG,Americas,Microinsurance,Total microinsurance coverage ratio,,,,,3.36,,6.19
Argentina,ARG,Americas,Microinsurance,Credit life coverage ratio,,,,,0.00,,0.00
Argentina,ARG,Americas,Microinsurance,Life coverage ratio (excluding credit life),,,,,3.31,,6.19
Argentina,ARG,Americas,Microinsurance,Life and accident coverage ratio (excluding credit life),,,,,3.31,,
Argentina,ARG,Americas,Microinsurance,Health coverage ratio,,,,,0.05,,0.33
Argentina,ARG,Americas,Microinsurance,Accident coverage ratio,,,,,1.06,,0.33
Argentina,ARG,Americas,Microinsurance,Property coverage ratio,,,,,0.00,,0.00
Argentina,ARG,Americas,Microinsurance,Agriculture coverage ratio,,,,,0.00,,0.00
Argentina,ARG,Americas,Microinsurance,Total Gross Premium (USD),,,,,,,
Argentina,ARG,Americas,Microinsurance,Microinsurance Gross Premium (USD),,,,,27026428.00,,51711841.00
Argentina,ARG,Americas,Poverty,Income share held by lowest 20%,3.44,3.93,3.92,4.38,,,
Argentina,ARG,Americas,Poverty,Poverty headcount ratio at $2 a day (PPP) (% of population),9.41,3.66,3.44,1.87,,,
Argentina,ARG,Americas,Poverty,Poverty headcount ratio at national poverty line (% of population),,,,,,,
Argentina,ARG,Americas,Poverty,Poverty headcount ratio at rural poverty line (% of rural population),,,,,,,
Argentina,ARG,Americas,Poverty,Poverty headcount ratio at urban poverty line (% of urban population),33.80,15.30,13.20,9.90,6.50,5.40,
Argentina,ARG,Americas,Poverty,GINI index,49.28,46.26,46.13,44.49,,,
Argentina,ARG,Americas,Poverty,"Life expectancy at birth, female",78.61,79.14,79.31,79.46,79.61,79.76,
Argentina,ARG,Americas,Poverty,"Life expectancy at birth, male",71.08,71.66,71.85,72.05,72.24,72.44,
Argentina,ARG,Americas,Poverty,"Life expectancy at birth, total",74.75,75.31,75.49,75.66,75.84,76.01,
Argentina,ARG,Americas,Poverty,"Physicians (per 1,000 people)",3.21,,,3.21,,,
Armenia,ARM,Asia,Demographics,Population (Total),3014917.00,2977488.00,2968154.00,2963496.00,2964120.00,2969081.00,
Armenia,ARM,Asia,Demographics,Population ages 15-64 (% of total),66.50,68.10,68.57,68.94,69.19,69.34,
Armenia,ARM,Asia,Demographics,Population density (people per sq. km of land area),105.86,104.55,104.22,104.06,104.08,104.25,
Armenia,ARM,Asia,Demographics,Population growth (annual %),-0.36,-0.42,-0.31,-0.16,0.02,0.17,
Armenia,ARM,Asia,Demographics,Urban population (% of total),64.18,64.11,64.09,64.07,64.11,64.16,
Armenia,ARM,Asia,Development,Human Development Index,0.70,0.73,0.72,0.72,0.73,0.73,
Armenia,ARM,Asia,Development,"Literacy rate, adult female (% of females ages 15 and above)",,,,,99.45,,
Armenia,ARM,Asia,Development,"Literacy rate, adult male (% of males ages 15 and above)",,,,,99.71,,
Armenia,ARM,Asia,Development,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.57,,
Armenia,ARM,Asia,Economy,GDP (current US$),4900436759.00,11662017845.00,8648015305.00,9260297329.00,10142408118.00,9950522733.00,
Armenia,ARM,Asia,Economy,GDP growth (annual %),13.87,6.90,-14.15,2.20,4.70,7.19,
Armenia,ARM,Asia,Economy,GDP per capita (current US$),1625.40,3916.73,2913.60,3124.79,3421.73,3351.38,
Armenia,ARM,Asia,Finance,Commercial_deposit_accounts_2010,,,,,,,
Armenia,ARM,Asia,Finance,Coop_and_credit_union_deposit_accounts_2010,,,,,,,
Armenia,ARM,Asia,Finance,State_Financial_Institution_deposit_accounts_2010,,,,,,,
Armenia,ARM,Asia,Finance,MFI_deposit_accounts_2010,,,,,,,
Armenia,ARM,Asia,Finance,Remittances received (US$),,,,,,,
Armenia,ARM,Asia,Finance,Number_of_MFIs_2011,,,,,,,
Armenia,ARM,Asia,Finance,Number_of_active_MFI_borrowers_2011,,,,,,,
Armenia,ARM,Asia,Finance,MFI_Gross_Loan_Portfolio_2011,,,,,,,
Armenia,ARM,Asia,Health,External resources for health (% of total expenditure on health),13.03,10.29,8.53,7.55,7.95,6.43,
Armenia,ARM,Asia,Health,Health expenditure per capita (current US$),85.37,148.81,132.43,142.56,127.06,150.33,
Armenia,ARM,Asia,Health,"Health expenditure, private (% of GDP)",3.35,2.03,2.54,2.64,1.77,2.61,
Armenia,ARM,Asia,Health,"Health expenditure, public (% of GDP)",1.91,1.76,2.01,1.92,1.94,1.88,
Armenia,ARM,Asia,Health,Out-of-pocket health expenditure (% of private expenditure on health),96.73,95.98,95.16,96.57,98.45,93.84,
Armenia,ARM,Asia,Health,"Under-5 mortality rate (per 1,000)",23.40,20.10,19.10,18.20,17.30,16.40,
Armenia,ARM,Asia,Health,"Maternal mortality ratio (per 100,000 live births)",37.00,,,31.00,,,
Armenia,ARM,Asia,Health,"Life expectancy at birth, female",76.77,77.39,77.54,77.66,77.77,77.87,
Armenia,ARM,Asia,Health,"Life expectancy at birth, male",69.97,70.66,70.82,70.95,71.06,71.17,
Armenia,ARM,Asia,Health,"Life expectancy at birth, total",73.29,73.94,74.09,74.22,74.33,74.44,
Armenia,ARM,Asia,Health,"Physicians (per 1,000 people)",,,,3.76,2.85,2.69,
Armenia,ARM,Asia,Index Coverage Indicators,Permanent cropland (% of land area),1.76,1.90,1.86,1.93,1.88,,
Armenia,ARM,Asia,Index Coverage Indicators,"Impact of natural disasters, number of deaths",,,,,,,
Armenia,ARM,Asia,Index Coverage Indicators,"Impact of natural disasters, population affected",,,,,,,
